,id,file_path,words
0,./training/JL_train/female1_angry_10a_2.wav,Water harms the new born boy.
1,./training/JL_train/female1_angry_10b_1.wav,Water harms the new born boy.
2,./training/JL_train/female1_angry_10b_2.wav,Water harms the new born boy.
3,./training/JL_train/female1_angry_11a_2.wav,I have not seen my tooth.
4,./training/JL_train/female1_angry_11b_1.wav,I have not seen my tooth.
5,./training/JL_train/female1_angry_11b_2.wav,I have not seen my tooth.
6,./training/JL_train/female1_angry_12a_2.wav,Work hard or you lose.
7,./training/JL_train/female1_angry_12b_1.wav,Work hard or you lose.
8,./training/JL_train/female1_angry_12b_2.wav,Work hard or you lose.
9,./training/JL_train/female1_angry_13a_2.wav,Jim saw the port.
10,./training/JL_train/female1_angry_13b_1.wav,Jim saw the port.
11,./training/JL_train/female1_angry_13b_2.wav,Jim saw the port.
12,./training/JL_train/female1_angry_14a_2.wav,They should start to talk.
13,./training/JL_train/female1_angry_14b_1.wav,They should start to talk.
14,./training/JL_train/female1_angry_14b_2.wav,They should start to talk.
15,./training/JL_train/female1_angry_15a_2.wav,Sound the horn if you need more.
16,./training/JL_train/female1_angry_15b_1.wav,Sound the horn if you need more.
17,./training/JL_train/female1_angry_15b_2.wav,Sound the horn if you need more.
18,./training/JL_train/female1_angry_1a_2.wav,Tom beats that farmer.
19,./training/JL_train/female1_angry_1b_1.wav,Tom beats that farmer.
20,./training/JL_train/female1_angry_1b_2.wav,Tom beats that farmer.
21,./training/JL_train/female1_angry_2a_2.wav,John laughs like your father.
22,./training/JL_train/female1_angry_2b_1.wav,John laughs like your father.
23,./training/JL_train/female1_angry_2b_2.wav,John laughs like your father.
24,./training/JL_train/female1_angry_3a_2.wav,The seed is buried in deep.
25,./training/JL_train/female1_angry_3b_1.wav,The seed is buried in deep.
26,./training/JL_train/female1_angry_3b_2.wav,The seed is buried in deep.
27,./training/JL_train/female1_angry_4a_2.wav,Taylor likes stewed Asian food.
28,./training/JL_train/female1_angry_4b_1.wav,Taylor likes stewed Asian food.
29,./training/JL_train/female1_angry_4b_2.wav,Taylor likes stewed Asian food.
30,./training/JL_train/female1_angry_5a_2.wav,The lord swims in the sea.
31,./training/JL_train/female1_angry_5b_1.wav,The lord swims in the sea.
32,./training/JL_train/female1_angry_5b_2.wav,The lord swims in the sea.
33,./training/JL_train/female1_angry_6a_2.wav,Jack views an art piece.
34,./training/JL_train/female1_angry_6b_1.wav,Jack views an art piece.
35,./training/JL_train/female1_angry_6b_2.wav,Jack views an art piece.
36,./training/JL_train/female1_angry_7a_2.wav,Carl leaps into a jeep.
37,./training/JL_train/female1_angry_7b_1.wav,Carl leaps into a jeep.
38,./training/JL_train/female1_angry_7b_2.wav,Carl leaps into a jeep.
39,./training/JL_train/female1_angry_8a_2.wav,Linda asks for more darts.
40,./training/JL_train/female1_angry_8b_1.wav,Linda asks for more darts.
