file,sentence,score
common_voice_en_19597454.mp3,He left behind four children.,1.0
common_voice_en_30645444.mp3,She was one of six children in the family.,1.0
common_voice_en_30645584.mp3,She died the following year.,1.0
common_voice_en_25380220.mp3,She is looking to the left.,1.0
common_voice_en_20168269.mp3,These are my people and that's how it is.,1.0
common_voice_en_18909374.mp3,It is part of the local government area.,1.0
common_voice_en_18963321.mp3,I wouldn't think he would use the same music.,1.0
common_voice_en_19547386.mp3,They left no children.,1.0
common_voice_en_19552434.mp3,"It states, He never saw it.",1.0
common_voice_en_19568019.mp3,She was named for John Young.,1.0
common_voice_en_21183049.mp3,They did the whole album.,1.0
common_voice_en_21185691.mp3,"For me now, it's about who I work with.",1.0
common_voice_en_22758621.mp3,A small section of the city is part of the West Linn-Wilsonville School District.,0.8333333333333334
common_voice_en_26997362.mp3,This has been the most popular spelling in the United States.,0.75
common_voice_en_19612312.mp3,The main river in the district is the Lahn.,0.75
common_voice_en_27284808.mp3,Another was east of Medford Station on the Main Line.,0.75
common_voice_en_20167832.mp3,It is a part of the Carson City School District.,0.75
common_voice_en_18838387.mp3,It was a community school for the Shiloh area.,0.75
common_voice_en_18985448.mp3,Eagledale Park is located within the community.,0.75
common_voice_en_18985461.mp3,It is located in Olympic National Park.,0.75
common_voice_en_18985546.mp3,Richard was nine years old when his father died.,0.75
common_voice_en_19552183.mp3,The village of New Glarus is located within the town.,0.75
common_voice_en_27325809.mp3,"For example, there is a symphonic band in the school.",0.6666666666666666
common_voice_en_22708462.mp3,He was a member of the Punching Church.,0.6666666666666666
common_voice_en_22749711.mp3,The airport is actually located within the city.,0.6666666666666666
common_voice_en_27292629.mp3,It is located in the north-east of the island.,0.6666666666666666
common_voice_en_27637416.mp3,It was collected into a book that same year.,0.6666666666666666
common_voice_en_19744101.mp3,They also won only one playoff series during this time.,0.6666666666666666
common_voice_en_19751412.mp3,It is a left tributary of the Ob River.,0.6666666666666666
common_voice_en_27270003.mp3,So began his artistic career.,0.6666666666666666
common_voice_en_23893370.mp3,It is also the title of a song on that album.,0.6666666666666666
common_voice_en_23893416.mp3,There he lived in New York City.,0.6666666666666666
common_voice_en_23893807.mp3,You can't make it blue in black and white.,0.6666666666666666
common_voice_en_19852880.mp3,"Of course, he always played his music on the weekends.",0.6666666666666666
common_voice_en_19867753.mp3,"This building was named ""Northburg"".",0.6666666666666666
common_voice_en_19867909.mp3,Father Judge High School is located in Holmesburg.,0.6666666666666666
common_voice_en_25640048.mp3,They currently live in New York City.,0.6666666666666666
common_voice_en_25640832.mp3,Her next book was equally well received.,0.6666666666666666
common_voice_en_18884148.mp3,It is located from the Adelaide station.,0.6666666666666666
common_voice_en_18884769.mp3,The University of South Florida won both.,0.6666666666666666
common_voice_en_18893476.mp3,It is south of Hempstead village.,0.6666666666666666
common_voice_en_19547376.mp3,He played for England before and after the First World War.,0.6666666666666666
common_voice_en_21159887.mp3,The song is in the key of G major.,0.6666666666666666
common_voice_en_21210161.mp3,The series lasted approximately two years.,0.6666666666666666
common_voice_en_23566567.mp3,"The town most likely was named after Bethany, a biblical place.",0.6
common_voice_en_20049374.mp3,The West Branch of the Pleasant River ran through the town.,0.6
common_voice_en_27292301.mp3,The Town of Castile is on the east border of the county.,0.6
common_voice_en_89121.mp3,A group of young people with instruments are on stage.,0.6
common_voice_en_19693016.mp3,"After high school, he went on to study at the University of Missouri.",0.6
common_voice_en_19693412.mp3,This time he had the endorsement of the local Progressive Party alone.,0.6
common_voice_en_27344523.mp3,"The following year, he was accepted to University College in Ibadan.",0.6
common_voice_en_25358036.mp3,The town also has several art galleries and a school of English.,0.6
common_voice_en_25359086.mp3,The park was opened as a public leisure area.,0.6
common_voice_en_23893743.mp3,"Louis K. Church was born in Brooklyn, New York.",0.6
common_voice_en_29375365.mp3,Most of the county's water area is part of Lake Winnipesaukee.,0.6
common_voice_en_18838390.mp3,The village was named after the European island of Malta.,0.6
common_voice_en_18906395.mp3,County parks located near the city include McCollum Park and North Creek Park.,0.6
