filename,text
female1_angry_10a_2.txt,Water harms the new born boy.
female1_angry_10b_1.txt,Water harms the new born boy.
female1_angry_10b_2.txt,Water harms the new born boy.
female1_angry_11a_2.txt,I have not seen my tooth.
female1_angry_11b_1.txt,I have not seen my tooth.
female1_angry_11b_2.txt,I have not seen my tooth.
female1_angry_12a_2.txt,Work hard or you lose.
female1_angry_12b_1.txt,Work hard or you lose.
female1_angry_12b_2.txt,Work hard or you lose.
female1_angry_13a_2.txt,Jim saw the port.
female1_angry_13b_1.txt,Jim saw the port.
female1_angry_13b_2.txt,Jim saw the port.
female1_angry_14a_2.txt,They should start to talk.
female1_angry_14b_1.txt,They should start to talk.
female1_angry_14b_2.txt,They should start to talk.
female1_angry_15a_2.txt,Sound the horn if you need more.
female1_angry_15b_1.txt,Sound the horn if you need more.
female1_angry_15b_2.txt,Sound the horn if you need more.
female1_angry_1a_2.txt,Tom beats that farmer.
female1_angry_1b_1.txt,Tom beats that farmer.
female1_angry_1b_2.txt,Tom beats that farmer.
female1_angry_2a_2.txt,John laughs like your father.
female1_angry_2b_1.txt,John laughs like your father.
female1_angry_2b_2.txt,John laughs like your father.
female1_angry_3a_2.txt,The seed is buried in deep.
female1_angry_3b_1.txt,The seed is buried in deep.
female1_angry_3b_2.txt,The seed is buried in deep.
female1_angry_4a_2.txt,Taylor likes stewed Asian food.
female1_angry_4b_1.txt,Taylor likes stewed Asian food.
female1_angry_4b_2.txt,Taylor likes stewed Asian food.
female1_angry_5a_2.txt,The lord swims in the sea.
female1_angry_5b_1.txt,The lord swims in the sea.
female1_angry_5b_2.txt,The lord swims in the sea.
female1_angry_6a_2.txt,Jack views an art piece.
female1_angry_6b_1.txt,Jack views an art piece.
female1_angry_6b_2.txt,Jack views an art piece.
female1_angry_7a_2.txt,Carl leaps into a jeep.
female1_angry_7b_1.txt,Carl leaps into a jeep.
female1_angry_7b_2.txt,Carl leaps into a jeep.
female1_angry_8a_2.txt,Linda asks for more darts.
female1_angry_8b_1.txt,Linda asks for more darts.
female1_angry_8b_2.txt,Linda asks for more darts.
female1_angry_9a_2.txt,Find your boot in this shute.
female1_angry_9b_1.txt,Find your boot in this shute.
female1_angry_9b_2.txt,Find your boot in this shute.
female1_anxious_10a_2.txt,Water harms the new born boy.
female1_anxious_10b_1.txt,Water harms the new born boy.
female1_anxious_10b_2.txt,Water harms the new born boy.
female1_anxious_11a_2.txt,Your results are unbelievable.
female1_anxious_11b_1.txt,Your results are unbelievable.
female1_anxious_11b_2.txt,Your results are unbelievable.
female1_anxious_12a_2.txt,We were away a year ago.
female1_anxious_12b_1.txt,We were away a year ago.
female1_anxious_12b_2.txt,We were away a year ago.
female1_anxious_13a_2.txt,How are you doing?
female1_anxious_13b_1.txt,How are you doing?
female1_anxious_13b_2.txt,How are you doing?
female1_anxious_14a_2.txt,I am so worried about my exam results.
female1_anxious_14b_1.txt,I am so worried about my exam results.
female1_anxious_14b_2.txt,I am so worried about my exam results.
female1_anxious_15a_2.txt,I am not sure how severe the wound is!
female1_anxious_15b_1.txt,I am not sure how severe the wound is!
female1_anxious_15b_2.txt,I am not sure how severe the wound is!
female1_anxious_1a_2.txt,Tom beats that farmer.
female1_anxious_1b_1.txt,Tom beats that farmer.
female1_anxious_1b_2.txt,Tom beats that farmer.
female1_anxious_2a_2.txt,John laughs like your father.
female1_anxious_2b_1.txt,John laughs like your father.
female1_anxious_2b_2.txt,John laughs like your father.
female1_anxious_3a_2.txt,The seed is buried in deep.
female1_anxious_3b_1.txt,The seed is buried in deep.
female1_anxious_3b_2.txt,The seed is buried in deep.
female1_anxious_4a_2.txt,Taylor likes stewed asian food.
female1_anxious_4b_1.txt,Taylor likes stewed asian food.
female1_anxious_4b_2.txt,Taylor likes stewed asian food.
female1_anxious_5a_2.txt,The lord swims in the sea.
female1_anxious_5b_1.txt,The lord swims in the sea.
female1_anxious_5b_2.txt,The lord swims in the sea.
female1_anxious_6a_2.txt,Jack views an art piece.
female1_anxious_6b_1.txt,Jack views an art piece.
female1_anxious_6b_2.txt,Jack views an art piece.
female1_anxious_7a_2.txt,Carl leaps into a jeep.
female1_anxious_7b_1.txt,Carl leaps into a jeep.
female1_anxious_7b_2.txt,Carl leaps into a jeep.
female1_anxious_8a_2.txt,Linda asks for more darts.
female1_anxious_8b_1.txt,Linda asks for more darts.
female1_anxious_8b_2.txt,Linda asks for more darts.
female1_anxious_9a_2.txt,Find your boot in this shute.
female1_anxious_9b_1.txt,Find your boot in this shute.
female1_anxious_9b_2.txt,Find your boot in this shute.
female1_apologetic_10a_2.txt,Water harms the new born boy.
female1_apologetic_10b_1.txt,Water harms the new born boy.
female1_apologetic_10b_2.txt,Water harms the new born boy.
female1_apologetic_11a_2.txt,Your results are unbelievable.
female1_apologetic_11b_1.txt,Your results are unbelievable.
female1_apologetic_11b_2.txt,Your results are unbelievable.
female1_apologetic_12a_2.txt,We were away a year ago.
female1_apologetic_12b_1.txt,We were away a year ago.
female1_apologetic_12b_2.txt,We were away a year ago.
female1_apologetic_13a_2.txt,How are you doing?
female1_apologetic_13b_1.txt,How are you doing?
female1_apologetic_13b_2.txt,How are you doing?
female1_apologetic_14a_2.txt,I owe you an apology.
female1_apologetic_14b_1.txt,I owe you an apology.
female1_apologetic_14b_2.txt,I owe you an apology.
female1_apologetic_15a_2.txt,"Forgive me, but I must leave now"
female1_apologetic_15b_1.txt,"Forgive me, but I must leave now"
female1_apologetic_15b_2.txt,"Forgive me, but I must leave now"
female1_apologetic_1a_2.txt,Tom beats that farmer.
female1_apologetic_1b_1.txt,Tom beats that farmer.
female1_apologetic_1b_2.txt,Tom beats that farmer.
female1_apologetic_2a_2.txt,John laughs like your father.
female1_apologetic_2b_1.txt,John laughs like your father.
female1_apologetic_2b_2.txt,John laughs like your father.
female1_apologetic_3a_2.txt,The seed is buried in deep.
female1_apologetic_3b_1.txt,The seed is buried in deep.
female1_apologetic_3b_2.txt,The seed is buried in deep.
female1_apologetic_4a_2.txt,Taylor likes stewed asian food.
female1_apologetic_4b_1.txt,Taylor likes stewed asian food.
female1_apologetic_4b_2.txt,Taylor likes stewed asian food.
female1_apologetic_5a_2.txt,The lord swims in the sea.
female1_apologetic_5b_1.txt,The lord swims in the sea.
female1_apologetic_5b_2.txt,The lord swims in the sea.
female1_apologetic_6a_2.txt,Jack views an art piece.
female1_apologetic_6b_1.txt,Jack views an art piece.
female1_apologetic_6b_2.txt,Jack views an art piece.
female1_apologetic_7a_2.txt,Carl leaps into a jeep.
female1_apologetic_7b_1.txt,Carl leaps into a jeep.
female1_apologetic_7b_2.txt,Carl leaps into a jeep.
female1_apologetic_8a_2.txt,Linda asks for more darts.
female1_apologetic_8b_1.txt,Linda asks for more darts.
female1_apologetic_8b_2.txt,Linda asks for more darts.
female1_apologetic_9a_2.txt,Find your boot in this shute.
female1_apologetic_9b_1.txt,Find your boot in this shute.
female1_apologetic_9b_2.txt,Find your boot in this shute.
female1_assertive_10a_2.txt,Water harms the new born boy.
female1_assertive_10b_1.txt,Water harms the new born boy.
female1_assertive_10b_2.txt,Water harms the new born boy.
female1_assertive_11a_2.txt,Your results are unbelievable.
female1_assertive_11b_1.txt,Your results are unbelievable.
female1_assertive_11b_2.txt,Your results are unbelievable.
female1_assertive_12a_2.txt,We were away a year ago.
female1_assertive_12b_1.txt,We were away a year ago.
female1_assertive_12b_2.txt,We were away a year ago.
female1_assertive_13a_2.txt,How are you doing?
female1_assertive_13b_1.txt,How are you doing?
female1_assertive_13b_2.txt,How are you doing?
female1_assertive_14a_2.txt,Please try to do your exercises next time.
female1_assertive_14b_1.txt,Please try to do your exercises next time.
female1_assertive_14b_2.txt,Please try to do your exercises next time.
female1_assertive_15a_2.txt,I will think about it and get back to you.
female1_assertive_15b_1.txt,I will think about it and get back to you.
female1_assertive_15b_2.txt,I will think about it and get back to you.
female1_assertive_1a_2.txt,Tom beats that farmer.
female1_assertive_1b_1.txt,Tom beats that farmer.
female1_assertive_1b_2.txt,Tom beats that farmer.
female1_assertive_2a_2.txt,John laughs like your father.
female1_assertive_2b_1.txt,John laughs like your father.
female1_assertive_2b_2.txt,John laughs like your father.
female1_assertive_3a_2.txt,The seed is buried in deep.
female1_assertive_3b_1.txt,The seed is buried in deep.
female1_assertive_3b_2.txt,The seed is buried in deep.
female1_assertive_4a_2.txt,Taylor likes stewed asian food.
female1_assertive_4b_1.txt,Taylor likes stewed asian food.
female1_assertive_4b_2.txt,Taylor likes stewed asian food.
female1_assertive_5a_2.txt,The lord swims in the sea.
female1_assertive_5b_1.txt,The lord swims in the sea.
female1_assertive_5b_2.txt,The lord swims in the sea.
female1_assertive_6a_2.txt,Jack views an art piece.
female1_assertive_6b_1.txt,Jack views an art piece.
female1_assertive_6b_2.txt,Jack views an art piece.
female1_assertive_7a_2.txt,Carl leaps into a jeep.
female1_assertive_7b_1.txt,Carl leaps into a jeep.
female1_assertive_7b_2.txt,Carl leaps into a jeep.
female1_assertive_8a_2.txt,Linda asks for more darts.
female1_assertive_8b_1.txt,Linda asks for more darts.
female1_assertive_8b_2.txt,Linda asks for more darts.
female1_assertive_9a_2.txt,Find your boot in this shute.
female1_assertive_9b_1.txt,Find your boot in this shute.
female1_assertive_9b_2.txt,Find your boot in this shute.
female1_concerned_10a_2.txt,Water harms the new born boy.
female1_concerned_10b_1.txt,Water harms the new born boy.
female1_concerned_10b_2.txt,Water harms the new born boy.
female1_concerned_11a_2.txt,Your results are unbelievable.
female1_concerned_11b_1.txt,Your results are unbelievable.
female1_concerned_11b_2.txt,Your results are unbelievable.
female1_concerned_12a_2.txt,We were away a year ago.
female1_concerned_12b_1.txt,We were away a year ago.
female1_concerned_12b_2.txt,We were away a year ago.
female1_concerned_13a_2.txt,How are you doing?
female1_concerned_13b_1.txt,How are you doing?
female1_concerned_13b_2.txt,How are you doing?
female1_concerned_14a_2.txt,It seems like you are taking a long time.
female1_concerned_14b_1.txt,It seems like you are taking a long time.
female1_concerned_14b_2.txt,It seems like you are taking a long time.
female1_concerned_15a_2.txt,I know how frustrating it can be.
